subject,repeat,scenario,method,accuracy,macro_f1
103,2,rotation_axis_loss,CWR_frozen,0.30467289719626167,0.22566956779203123
103,2,rotation_axis_loss,plain_GCCA,0.2791277258566978,0.1811303261347081
103,2,rotation_axis_loss,concat_PCA,0.3601246105919003,0.23095677807089915
103,2,rotation_axis_loss,ALS,0.36697819314641744,0.23456439126964196
103,2,rotation_axis_loss,late_fusion,0.8149532710280374,0.5290350152013746
104,0,stable,CWR,0.5743212149102623,0.452537942710878
104,0,stable,CWR_frozen,0.5743212149102623,0.452537942710878
104,0,stable,plain_GCCA,0.48136217211228716,0.46691338261220333
104,0,stable,concat_PCA,0.6447307869305108,0.6073018764688042
104,0,stable,ALS,0.6525540727105384,0.6143195634852947
104,0,stable,late_fusion,0.8329498389323516,0.6926048444849472
104,0,rotation,CWR,0.6074551311550851,0.48611898154599537
104,0,rotation,CWR_frozen,0.3451449608835711,0.21750715152679898
104,0,rotation,plain_GCCA,0.3161527841693511,0.1930522399708466
104,0,rotation,concat_PCA,0.4509894155545329,0.3160273720892763
104,0,rotation,ALS,0.4542107685227796,0.35545144383196753
104,0,rotation,late_fusion,0.7022549470777727,0.5698310780524151
104,0,axis_loss,CWR,0.5043718361711919,0.4023965676465971
104,0,axis_loss,CWR_frozen,0.5043718361711919,0.4023965676465971
104,0,axis_loss,plain_GCCA,0.5490105844454671,0.4786088703289293
104,0,axis_loss,concat_PCA,0.5075931891394385,0.3828987671208531
104,0,axis_loss,ALS,0.5016106764841234,0.37177412785858993
104,0,axis_loss,late_fusion,0.8007363092498849,0.6712499102807047
104,0,rotation_axis_loss,CWR,0.6208007363092499,0.5003441314748885
104,0,rotation_axis_loss,CWR_frozen,0.38564196962724345,0.2913334225207755
104,0,rotation_axis_loss,plain_GCCA,0.24482282558674642,0.15828981026359878
104,0,rotation_axis_loss,concat_PCA,0.42291762540266914,0.3639988237219768
104,0,rotation_axis_loss,ALS,0.4289001380579843,0.3663501565953941
104,0,rotation_axis_loss,late_fusion,0.6709618039576623,0.547095627055216
104,1,stable,CWR,0.5715600552231938,0.44892771988481633
104,1,stable,CWR_frozen,0.5715600552231938,0.44892771988481633
104,1,stable,plain_GCCA,0.5108145421076852,0.49538570802423204
104,1,stable,concat_PCA,0.6557754256787851,0.6242351487149225
104,1,stable,ALS,0.6732627703635526,0.6378252879234891
104,1,stable,late_fusion,0.8324896456511734,0.6911403072235277
104,1,rotation,CWR,0.5807639208467557,0.4606096783837856
104,1,rotation,CWR_frozen,0.35020708697653014,0.24354563746752309
104,1,rotation,plain_GCCA,0.31385181776346066,0.2231027724991566
104,1,rotation,concat_PCA,0.276576161988035,0.20776595366605907
104,1,rotation,ALS,0.3028071790151864,0.22270781123144526
104,1,rotation,late_fusion,0.6801656695812242,0.5533259686208926
104,1,axis_loss,CWR,0.5683387022549471,0.4478404886134854
104,1,axis_loss,CWR_frozen,0.5784629544408652,0.45491665979992896
104,1,axis_loss,plain_GCCA,0.4141739530602853,0.3566402859789
104,1,axis_loss,concat_PCA,0.5918085595950299,0.4772448064801086
104,1,axis_loss,ALS,0.597330878969167,0.4806952480976969
104,1,axis_loss,late_fusion,0.7123791992636908,0.5853553414433369
104,1,rotation_axis_loss,CWR,0.5927289461573861,0.4719530492448769
104,1,rotation_axis_loss,CWR_frozen,0.37505752416014726,0.2879930525716581
104,1,rotation_axis_loss,plain_GCCA,0.22457432121491025,0.11944027915482672
104,1,rotation_axis_loss,concat_PCA,0.393005062126093,0.2999418193070205
104,1,rotation_axis_loss,ALS,0.40036815462494246,0.301268422061931
104,1,rotation_axis_loss,late_fusion,0.7109986194201565,0.5842929787034483
104,2,stable,CWR,0.5770823745973309,0.45062796396172944
104,2,stable,CWR_frozen,0.5770823745973309,0.45062796396172944
104,2,stable,plain_GCCA,0.5614358030372757,0.521429382159026
104,2,stable,concat_PCA,0.7409111826967326,0.632050789376139
104,2,stable,ALS,0.7473538886332259,0.6335899792610012
104,2,stable,late_fusion,0.8361711919005983,0.6926314300990257
104,2,rotation,CWR,0.577542567878509,0.4568615570469099
104,2,rotation,CWR_frozen,0.3437643810400368,0.21757124767123595
104,2,rotation,plain_GCCA,0.3101702715140359,0.17907200122800462
