subject,repeat,scenario,wrist_realign,n_realign,suspects,resid_wrist,resid_chest,resid_ankle
105,0,rotation,1,1,0,1.6299843861676357,0.4796543001483718,0.5668139117218329
105,0,axis_loss,1,1,0,0.6240548127986482,0.25345537596266515,0.2900480492230457
105,0,rotation_axis_loss,1,1,0,1.337814599266874,0.41922213966339006,0.48116117875643377
105,1,stable,0,0,,0.42727005729928885,0.2183158248722406,0.2649429120941552
105,1,rotation,1,1,0,1.2637334528827595,0.4709575976865169,0.4305328370716144
105,1,axis_loss,1,1,0,1.0638065909444594,0.37604764039591426,0.42547936339306697
105,1,rotation_axis_loss,1,1,0,1.7137876682893862,0.5793956452485772,0.5471218972128675
105,2,stable,1,1,0,0.44748524900960707,0.21393977912340278,0.2619089563185421
105,2,rotation,1,1,0,1.2285359792272257,0.3850447009308234,0.4813293996199306
105,2,axis_loss,1,1,0,1.0026964171650217,0.3308564773672877,0.42259784215236446
105,2,rotation_axis_loss,1,1,0,1.4083074534146276,0.4182860905384386,0.5379737471060165
106,0,stable,0,0,,0.3654913081926185,0.24134335136933455,0.28994783522298156
106,0,rotation,1,1,0,3.0631719245523894,0.9985309006845621,0.8816005940876392
106,0,axis_loss,1,1,0,0.7975661419047817,0.37264184399414757,0.37468675945425023
106,0,rotation_axis_loss,1,1,0,3.0790976867266195,0.9936527768546183,0.8944415990046982
106,1,stable,0,0,,0.3815405962871198,0.23104297131458512,0.30400332222455584
106,1,rotation,1,1,0,1.0620659405599777,0.41795428131487655,0.4573546843606934
106,1,axis_loss,1,1,0,1.0312567085168776,0.33211563021847806,0.5277887194355418
106,1,rotation_axis_loss,1,1,0,1.2780476055425272,0.40486622792332666,0.5784335702435179
106,2,stable,0,0,,0.43018494398851104,0.22771347609894504,0.33190452482597166
106,2,rotation,1,1,0,2.7323384676894586,0.8753745523205841,0.8353202104548063
106,2,axis_loss,1,1,0,1.0199545255915146,0.4192524558370203,0.4352503358893982
106,2,rotation_axis_loss,1,1,0,2.9938935932201325,0.9592934666617448,0.8821788588789824
107,0,stable,0,0,,0.243200518340045,0.3036877530113201,0.44480784713821525
107,0,rotation,1,1,0,1.4575400441938522,0.5996249123734199,0.7560404507030193
107,0,axis_loss,0,0,,0.5883091504555231,0.362647228265142,0.5584026879421325
107,0,rotation_axis_loss,1,1,0,1.487184736055124,0.5907726344305998,0.7797150745764754
107,1,stable,0,1,2,0.25721023517127023,0.2789924956380852,0.46734801578631835
107,1,rotation,1,1,0,1.8435981838698419,0.6382830592094748,0.9012514265642146
107,1,axis_loss,0,0,,0.607858633118368,0.3557203629767143,0.5659443474212381
107,1,rotation_axis_loss,1,1,0,2.0822923763866363,0.6542248701586393,1.0046567118734475
107,2,stable,0,0,,0.3236901099191133,0.23527749357815514,0.4393308347736798
107,2,rotation,1,1,0,1.2262888480609588,0.4831646437618708,0.6427430536608868
107,2,axis_loss,0,0,,0.5366537818971793,0.26624595333045886,0.514844211010409
107,2,rotation_axis_loss,1,1,0,1.1009656153803389,0.4499420114697876,0.61330406961266
108,0,stable,0,0,,0.6424711683450763,0.5966057274847538,0.42056117183349934
108,0,rotation,1,1,0,1.2807485896992503,0.7634493923653448,0.5728562176299954
108,0,axis_loss,0,0,,0.9518216189171282,0.614295606322637,0.5575465182816419
108,0,rotation_axis_loss,1,1,0,1.4465211788030368,0.7256822478840673,0.6935096566631659
108,1,stable,0,0,,0.6782308014316966,0.6334344176622907,0.44061900687825056
108,1,rotation,1,1,0,1.703870196247236,0.8361074623759918,0.7507656595723192
108,1,axis_loss,0,0,,0.9990401483525536,0.6553333522704944,0.5791247457304753
108,1,rotation_axis_loss,0,0,,0.7459165827931609,0.5359928303207246,0.5719034849005487
108,2,stable,0,0,,0.5402636297415125,0.5590454402620131,0.4259185007322327
108,2,rotation,1,1,0,2.079584753512311,0.9968852113987828,0.7577392914808618
108,2,axis_loss,0,0,,1.0747133133619908,0.6683234113806608,0.5838653714238242
108,2,rotation_axis_loss,0,0,,1.166340394647295,0.7189150777455559,0.579087245701581
